Date,Year,Month,Number of  Users,Country,State,Product Category,Sub Category,Quantity, Unit Cost , Unit Price , Cost , Revenue 
1/26/16,2016 ,January,19,Brazil,Amazonas,Educational Services,Basic Training,1, 175.00 , 218.00 , 175.00 , 218.00 
5/20/16,2016 ,May,19,Brazil,Amazonas,Educational Services,Basic Training,2, 52.50 , 60.00 , 105.00 , 120.00 
7/26/15,2015 ,July,19,Brazil,Amazonas,Educational Services,Basic Training,2, 122.50 , 139.50 , 245.00 , 279.00 
12/6/15,2015 ,December,19,Brazil,Amazonas,Educational Services,Basic Training,1, 420.00 , 458.00 , 420.00 , 458.00 
10/30/15,2015 ,October,45,Chile,Arica,Educational Services,Supervisor trainings,2, 507.50 , 508.00 ," 1,015.00 "," 1,016.00 "
11/24/15,2015 ,November,45,Chile,Arica,Educational Services,Data Collection,2, 312.50 , 341.00 , 625.00 , 682.00 
7/18/15,2015 ,July,20,Brazil,Amazonas,Consultant Services,Test Procedures,1," 2,295.00 "," 2,146.00 "," 2,295.00 "," 2,146.00 "
7/25/15,2015 ,July,20,Brazil,Amazonas,Consultant Services,Test Procedures,1," 2,320.00 "," 2,030.00 "," 2,320.00 "," 2,030.00 "
12/4/15,2015 ,December,20,Brazil,Amazonas,Consultant Services,Test Procedures,1," 2,295.00 "," 1,884.00 "," 2,295.00 "," 1,884.00 "
7/16/15,2015 ,July,22,Brazil,Bahia,Food Products,Minerals,1, 216.00 , 228.00 , 216.00 , 228.00 
8/14/15,2015 ,August,24,Brazil,Amazonas,Educational Services,Food Management,3, 530.00 , 529.33 ," 1,590.00 "," 1,588.00 "
12/28/15,2015 ,December,24,Brazil,Amazonas,Educational Services,Food Management,1," 1,113.00 "," 1,297.00 "," 1,113.00 "," 1,297.00 "
4/21/16,2016 ,April,45,Chile,Arica,Food Products,Water Cleaners,3, 63.00 , 78.33 , 189.00 , 235.00 
6/1/16,2016 ,June,45,Chile,Arica,Food Products,Water Cleaners,2, 40.50 , 47.00 , 81.00 , 94.00 
6/11/16,2016 ,June,45,Chile,Arica,Food Products,Containers,3, 179.67 , 214.33 , 539.00 , 643.00 
7/17/16,2016 ,July,45,Chile,Arica,Food Products,Water Cleaners,1, 135.00 , 163.00 , 135.00 , 163.00 
8/12/15,2015 ,August,45,Chile,Arica,Food Products,Water Cleaners,1, 171.00 , 190.00 , 171.00 , 190.00 
5/23/15,2015 ,May,32,Chile,Arizona,Consultant Services,Accounting and Management,3, 690.33 , 649.67 ," 2,071.00 "," 1,949.00 "
8/29/15,2015 ,August,40,Brazil,Amazonas,Educational Services,Food Management,2, 477.00 , 524.50 , 954.00 ," 1,049.00 "
6/6/16,2016 ,June,19,Chile,Tamarugal,Educational Services,Basic Training,3, 88.00 , 95.33 , 264.00 , 286.00 
1/27/16,2016 ,January,19,Chile,Tamarugal,Educational Services,Data Collection ,2, 99.50 , 126.00 , 199.00 , 252.00 
1/16/16,2016 ,January,40,Chile,Tamarugal,Educational Services,Food Security,3, 165.00 , 186.33 , 495.00 , 559.00 
2/13/16,2016 ,February,22,Brazil,Bahia,Educational Services,Food Security,1, 120.00 , 156.00 , 120.00 , 156.00 
7/7/16,2016 ,July,22,Brazil,Bahia,Educational Services,Food Security,1, 85.00 , 108.00 , 85.00 , 108.00 
7/8/16,2016 ,July,22,Brazil,Bahia,Educational Services,Food Security,2, 105.00 , 136.00 , 210.00 , 272.00 
7/16/15,2015 ,July,22,Brazil,Bahia,Educational Services,Food Security,1, 65.00 , 67.00 , 65.00 , 67.00 
7/16/15,2015 ,July,22,Brazil,Bahia,Educational Services,Food Security,2, 125.00 , 143.50 , 250.00 , 287.00 
7/16/15,2015 ,July,22,Brazil,Bahia,Food Products,Seed,3, 414.00 , 437.67 ," 1,242.00 "," 1,313.00 "
9/4/15,2015 ,September,22,Brazil,Bahia,Food Products,Seed,2, 486.00 , 535.50 , 972.00 ," 1,071.00 "
9/6/15,2015 ,September,22,Brazil,Bahia,Educational Services,Food Security,2, 25.00 , 26.50 , 50.00 , 53.00 
10/22/15,2015 ,October,22,Brazil,Bahia,Educational Services,Food Security,1, 189.00 , 179.00 , 189.00 , 179.00 
10/22/15,2015 ,October,22,Brazil,Bahia,Educational Services,Food Security,3, 6.67 , 7.00 , 20.00 , 21.00 
12/21/15,2015 ,December,22,Brazil,Bahia,Food Products,Seed,1, 150.00 , 159.00 , 150.00 , 159.00 
7/13/15,2015 ,July,22,Brazil,Bahia,Consultant Services,Test Procedures,2," 1,147.50 "," 1,077.00 "," 2,295.00 "," 2,154.00 "
7/16/15,2015 ,July,22,Brazil,Bahia,Consultant Services,Test Procedures,3, 765.00 , 712.33 ," 2,295.00 "," 2,137.00 "
2/13/16,2016 ,February,19,Brazil,Amazonas,Educational Services,Data Collection,1, 96.00 , 105.00 , 96.00 , 105.00 
3/22/16,2016 ,March,19,Brazil,Amazonas,Educational Services,Data Collection,1, 100.00 , 113.00 , 100.00 , 113.00 
5/3/16,2016 ,May,19,Brazil,Amazonas,Educational Services,Data Collection,2, 24.00 , 28.00 , 48.00 , 56.00 
5/20/16,2016 ,May,19,Brazil,Amazonas,Educational Services,Data Collection,2, 30.00 , 35.50 , 60.00 , 71.00 
6/28/16,2016 ,June,19,Brazil,Amazonas,Educational Services,Data Collection,1, 50.00 , 54.00 , 50.00 , 54.00 
7/3/16,2016 ,July,19,Brazil,Amazonas,Educational Services,Data Collection,2, 70.00 , 92.50 , 140.00 , 185.00 
7/3/16,2016 ,July,19,Brazil,Amazonas,Educational Services,Data Collection,1, 40.00 , 48.00 , 40.00 , 48.00 
8/8/15,2015 ,August,19,Brazil,Amazonas,Educational Services,Data Collection,3, 290.00 , 341.00 , 870.00 ," 1,023.00 "
8/8/15,2015 ,August,19,Brazil,Amazonas,Educational Services,Data Collection,3, 1.67 , 2.00 , 5.00 , 6.00 
8/8/15,2015 ,August,19,Brazil,Amazonas,Educational Services,Data Collection,3, 0.67 , 0.67 , 2.00 , 2.00 
10/27/15,2015 ,October,19,Brazil,Amazonas,Educational Services,Data Collection,3, 83.33 , 86.33 , 250.00 , 259.00 
10/27/15,2015 ,October,19,Brazil,Amazonas,Educational Services,Data Collection,1, 27.00 , 29.00 , 27.00 , 29.00 
10/31/15,2015 ,October,19,Brazil,Amazonas,Educational Services,Data Collection,3, 163.33 , 173.33 , 490.00 , 520.00 
10/31/15,2015 ,October,19,Brazil,Amazonas,Educational Services,Data Collection,2, 42.50 , 47.00 , 85.00 , 94.00 
10/31/15,2015 ,October,19,Brazil,Amazonas,Educational Services,Data Collection,2, 18.50 , 20.50 , 37.00 , 41.00 
12/2/15,2015 ,December,19,Brazil,Amazonas,Educational Services,Data Collection,3, 5.00 , 5.67 , 15.00 , 17.00 
12/2/15,2015 ,December,19,Brazil,Amazonas,Educational Services,Data Collection,1," 1,050.00 "," 1,111.00 "," 1,050.00 "," 1,111.00 "
1/10/16,2016 ,January,20,Brazil,Amazonas,Educational Services,Basic Training,3, 23.33 , 29.33 , 70.00 , 88.00 
1/13/16,2016 ,January,20,Brazil,Amazonas,Educational Services,Basic Training,1, 105.00 , 131.00 , 105.00 , 131.00 
2/27/16,2016 ,February,20,Brazil,Amazonas,Educational Services,Basic Training,3, 11.67 , 13.33 , 35.00 , 40.00 
8/16/15,2015 ,August,20,Brazil,Amazonas,Educational Services,Basic Training,1, 910.00 , 928.00 , 910.00 , 928.00 
11/17/15,2015 ,November,20,Brazil,Amazonas,Educational Services,Basic Training,3, 35.00 , 37.67 , 105.00 , 113.00 
2/20/16,2016 ,February,40,Chile,Tamarugal,Educational Services,Food Security,3, 256.67 , 334.33 , 770.00 ," 1,003.00 "
7/31/15,2015 ,July,40,Chile,Tamarugal,Educational Services,Food Security,1, 715.00 , 752.00 , 715.00 , 752.00 
7/29/15,2015 ,July,18,Brazil,Goias,Consultant Services,Test Procedures,1," 2,295.00 "," 2,115.00 "," 2,295.00 "," 2,115.00 "
7/29/15,2015 ,July,18,Brazil,Goias,Educational Services,Food Security,1, 230.00 , 250.00 , 230.00 , 250.00 
7/29/15,2015 ,July,18,Brazil,Goias,Educational Services,Food Security,3, 5.00 , 5.00 , 15.00 , 15.00 
3/27/16,2016 ,March,30,Chile,Tamarugal,Educational Services,Food Security,1, 330.00 , 413.00 , 330.00 , 413.00 
9/30/15,2015 ,September,21,Brazil,Bahia,Food Products,Water Cleaners,1, 64.00 , 61.00 , 64.00 , 61.00 
7/14/15,2015 ,July,21,Brazil,Goias,Consultant Services,Test Procedures,1," 2,320.00 "," 2,155.00 "," 2,320.00 "," 2,155.00 "
10/8/15,2015 ,October,21,Brazil,Goias,Consultant Services,Test Procedures,3, 256.33 , 256.33 , 769.00 , 769.00 
7/12/15,2015 ,July,21,Brazil,Amazonas,Educational Services,Food Security,1, 825.00 , 959.00 , 825.00 , 959.00 
8/1/15,2015 ,August,21,Brazil,Amazonas,Educational Services,Food Security,3, 128.33 , 141.67 , 385.00 , 425.00 
10/21/15,2015 ,October,21,Brazil,Amazonas,Educational Services,Food Security,3, 238.33 , 268.00 , 715.00 , 804.00 
12/17/15,2015 ,December,21,Brazil,Amazonas,Educational Services,Food Security,2, 302.50 , 337.50 , 605.00 , 675.00 
7/20/15,2015 ,July,30,Chile,Tamarugal,Educational Services,Food Security,2, 82.50 , 88.50 , 165.00 , 177.00 
11/5/15,2015 ,November,30,Chile,Tamarugal,Educational Services,Food Security,2, 55.00 , 63.50 , 110.00 , 127.00 
1/13/16,2016 ,January,46,Chile,Tamarugal,Educational Services,Basic Training,1, 659.00 , 790.00 , 659.00 , 790.00 
2/12/16,2016 ,February,46,Chile,Tamarugal,Educational Services,Basic Training,1, 440.00 , 510.00 , 440.00 , 510.00 
5/13/16,2016 ,May,24,Brazil,Amazonas,Food Products,Water Cleaners,1, 191.00 , 237.00 , 191.00 , 237.00 
10/9/15,2015 ,October,24,Brazil,Amazonas,Food Products,Water Cleaners,2, 32.00 , 29.00 , 64.00 , 58.00 
11/26/15,2015 ,November,24,Brazil,Amazonas,Food Products,Water Cleaners,3, 508.00 , 575.00 ," 1,524.00 "," 1,725.00 "
4/16/16,2016 ,April,25,Brazil,Bahia,Food Products,Water Testers,1, 207.00 , 265.00 , 207.00 , 265.00 
1/18/16,2016 ,January,45,Chile,Tamarugal,Educational Services,Supervisor trainings,3, 175.00 , 216.00 , 525.00 , 648.00 
1/26/16,2016 ,January,45,Chile,Tamarugal,Educational Services,Supervisor trainings,3, 303.33 , 380.33 , 910.00 ," 1,141.00 "
2/4/16,2016 ,February,45,Chile,Tamarugal,Educational Services,Data Collection,1, 163.00 , 203.00 , 163.00 , 203.00 
3/28/16,2016 ,March,55,Brazil,Amazonas,Food Products,Seed,2, 343.00 , 359.00 , 686.00 , 718.00 
1/5/16,2016 ,January,53,Brazil,Bahia,Educational Services,Data Collection,1, 210.00 , 271.00 , 210.00 , 271.00 
2/7/16,2016 ,February,53,Brazil,Bahia,Educational Services,Data Collection,2, 35.00 , 45.50 , 70.00 , 91.00 
2/7/16,2016 ,February,53,Brazil,Bahia,Educational Services,Data Collection,2, 20.00 , 23.50 , 40.00 , 47.00 
3/1/16,2016 ,March,53,Brazil,Bahia,Educational Services,Data Collection,3, 20.00 , 22.00 , 60.00 , 66.00 
3/1/16,2016 ,March,53,Brazil,Bahia,Educational Services,Data Collection,2, 385.00 , 495.50 , 770.00 , 991.00 
3/1/16,2016 ,March,53,Brazil,Bahia,Educational Services,Data Collection,3, 5.33 , 7.67 , 16.00 , 23.00 
7/8/16,2016 ,July,53,Brazil,Bahia,Educational Services,Data Collection,2, 58.00 , 65.00 , 116.00 , 130.00 
7/8/16,2016 ,July,53,Brazil,Bahia,Educational Services,Basic Training,2, 455.00 , 578.00 , 910.00 ," 1,156.00 "
7/20/16,2016 ,July,53,Brazil,Bahia,Educational Services,Data Collection,2, 30.00 , 36.00 , 60.00 , 72.00 
7/20/16,2016 ,July,53,Brazil,Bahia,Educational Services,Data Collection,3, 12.33 , 15.67 , 37.00 , 47.00 
9/13/15,2015 ,September,53,Brazil,Bahia,Educational Services,Data Collection,1, 420.00 , 442.00 , 420.00 , 442.00 
10/5/15,2015 ,October,53,Brazil,Bahia,Educational Services,Data Collection,1, 52.00 , 59.00 , 52.00 , 59.00 
2/11/16,2016 ,February,53,Brazil,Amazonas,Educational Services,Data Collection,3, 35.00 , 42.33 , 105.00 , 127.00 
2/11/16,2016 ,February,53,Brazil,Amazonas,Educational Services,Data Collection,1, 35.00 , 42.00 , 35.00 , 42.00 
4/11/16,2016 ,April,53,Brazil,Amazonas,Educational Services,Data Collection,2, 18.00 , 24.00 , 36.00 , 48.00 
4/11/16,2016 ,April,53,Brazil,Amazonas,Educational Services,Data Collection,2, 32.00 , 41.00 , 64.00 , 82.00 
4/18/16,2016 ,April,53,Brazil,Amazonas,Educational Services,Data Collection,2, 40.00 , 47.50 , 80.00 , 95.00 
4/18/16,2016 ,April,53,Brazil,Amazonas,Educational Services,Data Collection,3, 290.00 , 340.00 , 870.00 ," 1,020.00 "
4/20/16,2016 ,April,53,Brazil,Amazonas,Educational Services,Data Collection,1, 20.00 , 28.00 , 20.00 , 28.00 
4/26/16,2016 ,April,53,Brazil,Amazonas,Educational Services,Data Collection,2, 8.00 , 9.00 , 16.00 , 18.00 
5/4/16,2016 ,May,53,Brazil,Amazonas,Educational Services,Data Collection,2, 42.50 , 53.50 , 85.00 , 107.00 
5/4/16,2016 ,May,53,Brazil,Amazonas,Educational Services,Data Collection,3, 175.00 , 208.00 , 525.00 , 624.00 
5/29/16,2016 ,May,53,Brazil,Amazonas,Educational Services,Data Collection,1, 315.00 , 390.00 , 315.00 , 390.00 
7/10/16,2016 ,July,53,Brazil,Amazonas,Educational Services,Data Collection,1, 455.00 , 480.00 , 455.00 , 480.00 
7/10/16,2016 ,July,53,Brazil,Amazonas,Educational Services,Data Collection,3, 5.33 , 7.00 , 16.00 , 21.00 
7/24/16,2016 ,July,53,Brazil,Amazonas,Educational Services,Data Collection,2, 6.00 , 8.00 , 12.00 , 16.00 
7/24/16,2016 ,July,53,Brazil,Amazonas,Educational Services,Data Collection,1, 2.00 , 3.00 , 2.00 , 3.00 
11/1/15,2015 ,November,53,Brazil,Amazonas,Educational Services,Data Collection,1, 32.00 , 35.00 , 32.00 , 35.00 
11/1/15,2015 ,November,53,Brazil,Amazonas,Educational Services,Data Collection,3, 21.33 , 24.00 , 64.00 , 72.00 
12/15/15,2015 ,December,53,Brazil,Amazonas,Educational Services,Data Collection,3, 338.33 , 373.67 ," 1,015.00 "," 1,121.00 "
12/15/15,2015 ,December,53,Brazil,Amazonas,Educational Services,Data Collection,2, 37.50 , 36.00 , 75.00 , 72.00 
12/15/15,2015 ,December,53,Brazil,Amazonas,Educational Services,Data Collection,1, 270.00 , 268.00 , 270.00 , 268.00 
12/15/15,2015 ,December,53,Brazil,Amazonas,Educational Services,Data Collection,3, 36.67 , 37.67 , 110.00 , 113.00 
12/15/15,2015 ,December,53,Brazil,Amazonas,Educational Services,Data Collection,1, 69.00 , 85.00 , 69.00 , 85.00 
12/19/15,2015 ,December,53,Brazil,Amazonas,Educational Services,Data Collection,3, 64.33 , 72.00 , 193.00 , 216.00 
10/5/15,2015 ,October,53,Brazil,Bahia,Food Products,Water Cleaners,1, 191.00 , 213.00 , 191.00 , 213.00 
2/4/16,2016 ,February,45,Chile,Tamarugal,Educational Services,Data Collection,2, 14.00 , 16.50 , 28.00 , 33.00 
3/19/16,2016 ,March,45,Chile,Tamarugal,Educational Services,Data Collection,1, 125.00 , 174.00 , 125.00 , 174.00 
3/23/16,2016 ,March,45,Chile,Tamarugal,Educational Services,Data Collection,2, 43.50 , 50.50 , 87.00 , 101.00 
3/23/16,2016 ,March,45,Chile,Tamarugal,Educational Services,Data Collection,2, 67.50 , 81.50 , 135.00 , 163.00 
4/13/16,2016 ,April,45,Chile,Tamarugal,Educational Services,Data Collection,2, 25.00 , 31.00 , 50.00 , 62.00 
3/19/16,2016 ,March,58,Chile,Tamarugal,Educational Services,Supervisor trainings,2, 245.00 , 291.50 , 490.00 , 583.00 
1/5/16,2016 ,January,52,Brazil,Amazonas,Consultant Services,Test Procedures,3, 247.33 , 263.67 , 742.00 , 791.00 
1/8/16,2016 ,January,52,Brazil,Amazonas,Consultant Services,Test Procedures,2, 371.00 , 382.50 , 742.00 , 765.00 
5/3/16,2016 ,May,52,Brazil,Amazonas,Consultant Services,Test Procedures,1, 769.00 , 735.00 , 769.00 , 735.00 
5/3/16,2016 ,May,52,Brazil,Amazonas,Consultant Services,Test Procedures,1, 769.00 , 777.00 , 769.00 , 777.00 
5/3/16,2016 ,May,52,Brazil,Amazonas,Food Products,Minerals,1, 144.00 , 166.00 , 144.00 , 166.00 
5/9/16,2016 ,May,52,Brazil,Amazonas,Consultant Services,Test Procedures,1, 742.00 , 774.00 , 742.00 , 774.00 
5/9/16,2016 ,May,52,Brazil,Amazonas,Food Products,Minerals,2, 4.50 , 5.50 , 9.00 , 11.00 
7/14/15,2015 ,July,52,Brazil,Amazonas,Consultant Services,Test Procedures,3, 773.33 , 771.33 ," 2,320.00 "," 2,314.00 "
9/6/15,2015 ,September,52,Brazil,Amazonas,Food Products,Minerals,2, 58.50 , 62.00 , 117.00 , 124.00 
10/13/15,2015 ,October,52,Brazil,Amazonas,Consultant Services,Test Procedures,2," 1,147.50 "," 1,169.50 "," 2,295.00 "," 2,339.00 "
6/10/16,2016 ,June,52,Brazil,Amazonas,Food Products,Seed,3, 220.33 , 269.67 , 661.00 , 809.00 
4/24/16,2016 ,April,51,Brazil,Bahia,Food Products,Seed,3, 106.00 , 125.33 , 318.00 , 376.00 
3/28/16,2016 ,March,58,Chile,Tamarugal,Educational Services,Supervisor trainings,3, 23.33 , 29.00 , 70.00 , 87.00 
1/21/16,2016 ,January,51,Brazil,Bahia,Educational Services,Food Management,3, 318.00 , 411.67 , 954.00 ," 1,235.00 "
1/2/16,2016 ,January,50,Brazil,Amazonas,Educational Services,High level food mng,1, 286.00 , 380.00 , 286.00 , 380.00 
1/31/16,2016 ,January,49,Brazil,Amazonas,Educational Services,Food Security,3, 495.00 , 617.33 ," 1,485.00 "," 1,852.00 "
3/1/16,2016 ,March,49,Brazil,Amazonas,Educational Services,Food Security,2, 605.00 , 756.00 ," 1,210.00 "," 1,512.00 "
9/5/15,2015 ,September,49,Brazil,Amazonas,Educational Services,Food Security,3, 165.00 , 197.67 , 495.00 , 593.00 
3/6/16,2016 ,March,48,Brazil,Bahia,Educational Services,Basic Training,3, 268.33 , 316.00 , 805.00 , 948.00 
3/12/16,2016 ,March,48,Brazil,Bahia,Educational Services,Basic Training,3, 46.67 , 49.67 , 140.00 , 149.00 
4/7/16,2016 ,April,48,Brazil,Bahia,Educational Services,Basic Training,2, 210.00 , 252.00 , 420.00 , 504.00 
4/18/16,2016 ,April,48,Brazil,Bahia,Educational Services,Basic Training,1, 420.00 , 456.00 , 420.00 , 456.00 
5/14/16,2016 ,May,48,Brazil,Bahia,Educational Services,Basic Training,1, 350.00 , 432.00 , 350.00 , 432.00 
6/13/16,2016 ,June,48,Brazil,Bahia,Educational Services,Basic Training,3, 268.33 , 334.67 , 805.00 ," 1,004.00 "
